date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2023-08-24 04:00:00+00:00,MNTS,3881.75,0.24,9.6,9.95,8.76,9.01,125811,9.36
2023-12-27 05:00:00+00:00,LIDR,3859.46,0.07,2.93,4.08,2.57,2.65,6346797,2.86
2024-12-03 05:00:00+00:00,MYNZ,3815.66,0.2,7.8,7.95,6.2,6.92,211534,7.6
2024-08-19 04:00:00+00:00,FFIE,3692.83,0.13,4.87,4.99,3.8,3.99,5542135,4.74
2023-06-29 04:00:00+00:00,ALLR,3655.0,0.2,7.51,9.05,6.5,7.32,710977,7.31
2024-12-04 05:00:00+00:00,APVO,3589.36,0.23,8.67,10.0,7.46,10.0,142875,8.44
2023-03-27 04:00:00+00:00,ALLR,3554.1,0.08,2.81,2.84,2.35,2.57,762645,2.73
2024-01-16 05:00:00+00:00,RNAZ,3508.0,0.12,4.51,4.63,3.75,3.81,293582,4.38
2024-11-25 05:00:00+00:00,GPUS,3484.8,0.18,6.51,6.7,5.6,6.61,169345,6.33
2024-09-19 04:00:00+00:00,CYBN,3429.41,0.2,7.2,8.56,6.5,8.56,571556,7.0
2024-07-23 04:00:00+00:00,KITT,3367.11,0.09,3.11,3.36,2.65,3.27,680128,3.02
2024-11-26 05:00:00+00:00,CETX,3366.42,0.11,3.82,3.86,3.0,3.2,566051,3.71
2024-04-12 04:00:00+00:00,MI,3355.17,0.14,5.01,5.8,4.74,4.95,195390,4.87
2024-06-14 04:00:00+00:00,TRNR,3350.29,0.09,2.95,3.69,2.64,2.87,345727,2.86
2024-08-26 04:00:00+00:00,OBLG,3283.84,0.1,3.35,4.08,3.16,3.91,379739,3.25
2024-09-23 04:00:00+00:00,MPLN,3281.18,0.19,6.36,9.35,6.36,8.95,337045,6.17
2023-02-10 05:00:00+00:00,GFAI,3270.89,0.43,14.36,18.98,14.0,18.9,562020,13.93
2024-06-28 04:00:00+00:00,NUWE,3249.83,0.12,4.06,6.61,4.06,5.03,673972,3.94
2023-04-24 04:00:00+00:00,GRI,3200.0,0.4,13.2,13.33,7.61,8.59,229271,12.8
2023-06-07 04:00:00+00:00,VTGN,3176.38,0.1,3.26,3.26,2.61,2.71,963200,3.16
2023-06-07 04:00:00+00:00,BBLG,3174.38,0.2,6.48,6.89,5.07,5.4,389801,6.28
2024-07-19 04:00:00+00:00,BHIL,3160.87,0.18,6.0,6.86,6.0,6.76,133176,5.82
2023-11-28 05:00:00+00:00,CMND,3160.22,0.1,3.27,4.75,2.52,3.32,3718124,3.17
2024-08-02 04:00:00+00:00,BURU,3136.87,0.09,3.02,4.45,3.02,4.3,853040,2.93
2023-05-04 04:00:00+00:00,WGS,3135.77,0.25,7.96,8.22,7.55,7.76,162490,7.71
2024-12-04 05:00:00+00:00,RNAZ,3133.47,0.27,8.85,9.89,8.15,9.75,113358,8.58
2024-11-07 05:00:00+00:00,NDRA,3120.8,0.22,7.06,7.15,5.34,5.92,323006,6.84
2024-05-31 04:00:00+00:00,NBY,3114.97,0.1,3.35,3.55,3.08,3.44,314914,3.25
2024-01-22 05:00:00+00:00,NVVE,3087.5,0.1,3.06,3.32,2.78,2.98,253608,2.96
2023-02-01 05:00:00+00:00,REVB,3066.67,0.3,9.5,11.17,9.14,10.35,127584,9.2
2023-12-05 05:00:00+00:00,ZVSA,3066.4,0.06,1.96,2.49,1.77,2.17,335122,1.9
2024-05-23 04:00:00+00:00,AKAN,3065.94,0.09,2.9,3.1,2.33,2.39,1131805,2.81
2024-07-01 04:00:00+00:00,AZTR,2991.11,0.09,2.85,3.47,2.52,3.4,159866,2.76
2024-02-02 05:00:00+00:00,GNPX,2973.57,0.18,5.64,6.47,5.15,5.91,159996,5.46
2024-08-20 04:00:00+00:00,NDRA,2960.12,0.03,1.0,1.09,0.64,0.66,9236864,0.97
2023-09-25 04:00:00+00:00,YYAI,2928.01,0.13,4.0,4.94,3.8,3.84,351902,3.87
2024-09-25 04:00:00+00:00,FRGT,2907.16,0.08,2.52,3.18,1.91,2.1,14565279,2.44
2024-08-30 04:00:00+00:00,ATPC,2902.51,0.08,2.39,3.49,2.06,2.55,79891511,2.31
2024-02-14 05:00:00+00:00,DTIL,2896.78,0.37,11.16,12.16,10.94,11.99,137286,10.79
2024-10-18 04:00:00+00:00,HURA,2889.79,0.22,6.44,7.93,5.61,6.3,216184,6.22
2023-12-20 05:00:00+00:00,WNW,2874.68,0.08,2.35,2.63,1.8,2.3,261062,2.27
2023-01-26 05:00:00+00:00,EDBL,2871.43,0.35,10.4,16.98,8.58,9.2,1480906,10.05
